YEAR,QTR,SALES,INCOME,OPP,PAT
2016,3,17310.0,17310.0,4309.0,3609.0
2016,2,16782.0,16782.0,4047.0,3438.0
2016,1,16550.0,16550.0,4220.0,3598.0
2015,4,15902.0,15902.0,3959.0,3465.0
2015,3,15635.0,15635.0,3993.0,3399.0
2015,2,14354.0,14354.0,3447.0,3028.0
2015,1,13411.0,13411.0,3449.0,3098.0
2014,4,13796.0,13796.0,3689.0,3250.0
2014,3,13342.0,13342.0,3483.0,3096.0
2014,2,12770.0,12770.0,3211.0,2886.0
2014,1,12875.0,12875.0,3281.0,2992.0
2013,4,13026.0,13026.0,3259.0,2875.0
2013,3,12965.0,12965.0,2837.0,2407.0
2013,2,11267.0,11267.0,2664.0,2374.0
2013,1,10454.0,10454.0,2462.0,2394.0
2012,4,10424.0,10424.0,2677.0,2369.0
2012,3,9858.0,9858.0,2597.0,2369.0
2012,2,9616.0,9616.0,2693.0,2289.0
2012,1,8852.0,8852.0,2647.0,2316.0
2011,4,9298.0,9298.0,2899.0,2372.0
2011,3,8099.0,8099.0,2281.0,1906.0
2011,2,7485.0,7485.0,1952.0,1722.0
2011,1,7250.0,7250.0,2102.0,1818.0
2010,4,7106.0,7106.0,2147.0,1780.0
2010,3,6947.0,6947.0,2098.0,1737.0
2010,2,6198.0,6198.0,1755.0,1488.0
2010,1,5944.0,5944.0,1802.0,1617.0
2009,4,5741.0,5741.0,1806.0,1582.0
2009,3,5585.0,5585.0,1693.0,1535.0
2009,2,5472.0,5472.0,1646.0,1527.0
2009,1,5635.0,5635.0,1663.0,1613.0
2008,4,5786.0,5786.0,1842.0,1641.0
2008,3,5418.0,5418.0,1617.0,1432.0
2008,2,4854.0,4854.0,1310.0,1302.0
2008,1,4542.0,4542.0,1321.0,1249.0
2007,4,4271.0,4271.0,1239.0,1231.0
2007,3,4106.0,4106.0,1140.0,1100.0
2007,2,3773.0,3773.0,940.0,1079.0
2007,1,3772.0,3772.0,1053.0,1145.0
2006,4,3655.0,3655.0,1054.0,983.0
2006,3,3451.0,3451.0,986.0,929.0
2006,2,3015.0,3015.0,778.0,800.0
2006,1,2624.0,2624.0,682.0,673.0
2005,4,2532.0,2532.0,737.0,649.0
2005,3,2294.0,2294.0,631.0,606.0
2005,2,2071.59,2071.59,583.5,531.92
2005,1,1987.32,1987.32,611.83,558.64
